eventId,index,filename,source,caption,url,bytes,contentType
"founders-stayed","1","founders-stayed/01-Real-founders-dinner-room-with-candlelit-tables-and-seated-guests.jpg","Flickr / St Anne's College","Real founders' dinner room with candlelit tables and seated guests","https://live.staticflickr.com/65535/53524858825_ce3ce3c1f1_b.jpg","156926","image/jpeg"
"founders-stayed","2","founders-stayed/02-Small-group-toast-around-a-shared-table.jpg","Merlijn","Small group toast around a shared table","https://cdn.prod.website-files.com/5fc64ac4a881e95acd1055c0/687f77a2a7ea3affc0899147__DSC5442.jpg","974058","image/jpeg"
"founders-stayed","3","founders-stayed/03-Close-table-conversation-over-wine-and-small-plates.jpg","Merlijn","Close table conversation over wine and small plates","https://cdn.prod.website-files.com/5fc64ac4a881e95acd1055c0/6874f4288d1c01696a12c3ce_EmptyName%2065%20(1).jpg","284944","image/jpeg"
"founders-stayed","4","founders-stayed/04-Family-style-plates-and-wine-in-a-cozy-setting.jpg","Merlijn","Family-style plates and wine in a cozy setting","https://cdn.prod.website-files.com/5fc64ac4a881e95acd1055c0/6874ef1fc4b182a4227fecb9__DSC7859.jpg","2697387","image/jpeg"
"ggp-picnic","1","ggp-picnic/01-Picnic-circle-on-the-Conservatory-of-Flowers-lawn.jpg","San Francisco Chronicle","Picnic circle on the Conservatory of Flowers lawn","https://s.hdnux.com/photos/01/43/76/62/26209414/7/rawImage.jpg","208268","image/jpeg"
"ggp-picnic","2","ggp-picnic/02-Bright-San-Francisco-picnic-spread-with-shared-food-and-blankets.jpg","Flickr / Markus Spiering","Bright San Francisco picnic spread with shared food and blankets","https://live.staticflickr.com/7450/10011017905_4e583b0988_b.jpg","306925","image/jpeg"
"ggp-picnic","3","ggp-picnic/03-Golden-Gate-Park-garden-setting-for-a-relaxed-afternoon.jpg","SFGate","Golden Gate Park garden setting for a relaxed afternoon","https://s.hdnux.com/photos/01/30/11/75/23109478/5/rawImage.jpg","1267972","image/jpeg"
"ggp-picnic","4","ggp-picnic/04-Conservatory-of-Flowers-in-Golden-Gate-Park.jpg","Openverse / Flickr","Conservatory of Flowers in Golden Gate Park","https://live.staticflickr.com/1541/25888739384_26f5d1712a_b.jpg","255721","image/jpeg"
"angel-island","1","angel-island/01-Picnic-table-on-the-ferry-with-Angel-Island-and-Bay-views.jpg","Weekend Sherpa","Picnic table on the ferry with Angel Island and Bay views","https://images.prismic.io/weekendsherpa/5fe0c486-9fb3-4d9b-9248-2e4df661eece_IMG_0047.jpg?auto=compress,format&w=1280&q=100","798740","image/jpeg"
"angel-island","2","angel-island/02-Angel-Island-ferry-crossing-the-Bay-with-the-San-Francisco-skyline-behind-it.jpg","Flickr / Moocha","Angel Island ferry crossing the Bay with the San Francisco skyline behind it","https://live.staticflickr.com/4025/4641174010_d3eb4501e3_b.jpg","116624","image/jpeg"
"angel-island","3","angel-island/03-Angel-Island-viewed-from-the-ferry-on-a-clear-Bay-day.jpg","Flickr / firepepper","Angel Island viewed from the ferry on a clear Bay day","https://live.staticflickr.com/3002/2608306481_3b2fa5eb9d_b.jpg","141317","image/jpeg"
"angel-island","4","angel-island/04-Picnic-setup-with-sweeping-San-Francisco-Bay-views.jpg","Weekend Sherpa","Picnic setup with sweeping San Francisco Bay views","https://images.prismic.io/weekendsherpa/c2b5e067-fc8d-4db1-b964-019bd5abeabc_IMG_0048.jpg?auto=compress%2Cformat&fit=max&w=1008&h=672","98885","image/jpeg"
"mission-murals","1","mission-murals/01-Clarion-Alley-mural-corridor-in-the-Mission-District.jpg","Flickr / sswj","Clarion Alley mural corridor in the Mission District","https://live.staticflickr.com/8475/8366012364_6045b70f71_b.jpg","365005","image/jpeg"
"mission-murals","2","mission-murals/02-Clarion-Alley-mural-corridor-in-the-Mission.jpg","Secret San Francisco","Clarion Alley mural corridor in the Mission","https://offloadmedia.feverup.com/secretsanfrancisco.com/wp-content/uploads/2020/02/04092144/clarion-alley-mural-project-1024x768.jpg","202705","image/jpeg"
"mission-murals","3","mission-murals/03-Women-s-Building-mural-detail-on-18th-Street.jpg","Secret San Francisco","Women's Building mural detail on 18th Street","https://offloadmedia.feverup.com/secretsanfrancisco.com/wp-content/uploads/2020/02/04092145/tihana16-%E2%80%A2--1024x767.jpg","217060","image/jpeg"
"mission-murals","4","mission-murals/04-Colorful-Clarion-Alley-mural-detail-for-the-walking-route.jpg","Flickr / Carolina Soto","Colorful Clarion Alley mural detail for the walking route","https://live.staticflickr.com/7276/7406308766_28ed5782df_b.jpg","278714","image/jpeg"
"chinatown-banquet","1","chinatown-banquet/01-Grant-Avenue-lanterns-glowing-at-night.jpg","Flickr","Grant Avenue lanterns glowing at night","https://live.staticflickr.com/65535/32930792147_df59434490_b.jpg","384704","image/jpeg"
"chinatown-banquet","2","chinatown-banquet/02-Dense-Chinatown-festival-crowd-under-lanterns-and-street-decorations.jpg","Flickr / David Yu","Dense Chinatown festival crowd under lanterns and street decorations","https://live.staticflickr.com/8566/16534511292_757d81d922_b.jpg","302766","image/jpeg"
"chinatown-banquet","3","chinatown-banquet/03-Dim-sum-table-in-San-Francisco-Chinatown.jpg","Flickr","Dim sum table in San Francisco Chinatown","https://live.staticflickr.com/2817/8750810657_72ac13ed05_b.jpg","118250","image/jpeg"
"chinatown-banquet","4","chinatown-banquet/04-Daytime-Chinatown-lantern-canopy-and-colorful-storefronts.jpg","Flickr / Pat_4light","Daytime Chinatown lantern canopy and colorful storefronts","https://live.staticflickr.com/65535/53379554224_000f7906be_b.jpg","437625","image/jpeg"
"wave-organ","1","wave-organ/01-People-at-the-Wave-Organ-with-bikes-Bay-water-and-bridge-views.jpg","Flickr / Frank Synopsis","People at the Wave Organ with bikes, Bay water, and bridge views","https://live.staticflickr.com/3185/3071108499_d3048e4873_b.jpg","200947","image/jpeg"
